frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
151,6.040,0.512292,0.625859,1.392914,0.511321,0.908929,0.625859,1.392914,0.699528,0.056732,2.503437,0.773126,-1.013042
152,6.080,0.604282,0.460074,0.779482,0.345283,0.739286,0.604282,0.779482,0.739294,0.081166,2.417129,0.839968,-1.029144
153,6.120,0.409397,0.387097,0.900846,0.544340,1.101339,0.544340,1.101339,0.329699,0.061593,2.177358,1.018416,-1.073877
154,6.160,0.272601,0.433104,0.760973,0.481132,0.827232,0.481132,0.827232,0.556132,0.067865,1.924528,0.962264,-1.121047
155,6.200,0.820579,0.895558,1.168694,0.443868,0.365179,0.820579,1.168694,0.240094,0.308883,2.656597,1.641158,-0.867729
156,6.240,2.906225,3.786885,4.970122,1.921226,3.412946,3.412946,4.970122,0.949643,0.220016,13.651786,5.737310,1.066864
157,6.280,3.420896,4.508990,5.362506,1.558962,4.175447,4.175447,5.362506,3.989691,0.343432,12.158006,1.690692,1.635891
158,6.320,5.475615,6.228186,8.495505,2.491038,6.158482,6.158482,8.495505,4.394925,0.806223,7.638680,1.468996,3.115761
159,6.360,7.362014,8.839503,10.603913,4.912264,10.057590,8.839503,10.603913,7.132998,0.616486,14.338529,1.533581,5.116512
160,6.400,8.926645,10.242993,12.154680,6.923585,10.450446,10.242993,12.154680,8.201217,0.738571,13.868657,1.335966,6.163888
161,6.440,8.726011,9.238498,11.226070,6.203302,9.155804,9.155804,11.226070,8.985457,0.698851,13.101233,1.065454,5.352556
162,6.480,7.150079,6.196721,8.195135,4.141981,5.277232,6.196721,8.195135,6.430989,0.611297,10.137001,0.803910,3.144297
163,6.520,6.629461,4.354839,6.218668,3.361321,3.632589,4.354839,6.629461,5.373612,0.611856,7.117430,0.737821,1.769765
164,6.560,4.805115,2.373612,5.616076,2.698113,2.715178,2.715178,5.616076,3.644340,0.590197,4.600461,0.602172,0.546144
165,6.600,3.933188,1.913538,4.586462,2.385849,3.134821,3.134821,4.586462,3.574553,0.525025,5.970808,0.868505,0.859309
166,6.640,1.581879,1.130619,2.517187,1.465094,2.281696,1.581879,2.517187,1.897170,0.547061,2.891598,0.578202,-0.299598
167,6.680,3.727795,2.624802,4.310418,2.607547,5.355357,3.727795,5.355357,2.118755,0.649376,5.740581,1.856507,1.301824
168,6.720,5.438144,3.253305,5.473030,2.925000,7.229464,5.438144,7.229464,5.116574,0.656076,8.288899,1.503220,2.578197
169,6.760,8.232157,4.455579,6.538075,2.221698,5.771875,5.771875,8.232157,6.463393,0.954762,6.045355,0.996872,2.827249
170,6.800,7.596352,4.062930,6.285034,1.855660,4.846875,4.846875,7.596352,5.981250,1.039573,4.662371,0.778950,2.136954
171,6.840,4.463719,2.977525,4.900582,1.424057,3.839732,3.839732,4.900582,4.291071,0.753941,5.092882,0.747588,1.385359
172,6.880,9.147899,5.946589,12.016658,5.180189,8.245090,8.245090,12.016658,3.581697,1.073760,7.678706,2.094585,4.672923
173,6.920,9.232752,6.528292,11.475145,6.476415,8.596875,8.596875,11.475145,9.107142,1.120230,7.674207,1.355029,4.935448
174,6.960,4.886598,3.203331,5.967213,4.110377,5.021429,4.886598,5.967213,5.760268,0.643530,7.593423,0.657357,2.166598
175,7.000,3.343180,2.030143,4.823638,2.583962,3.032143,3.032143,4.823638,4.201786,0.690854,4.388979,0.608739,0.782683
176,7.040,2.874306,1.989688,5.079059,1.949057,2.875000,2.874306,5.079059,3.076415,0.589754,4.873740,0.789840,0.664895
177,7.080,3.640761,2.005817,3.643839,2.362264,3.285268,3.285268,3.643839,1.888948,0.549885,5.974463,1.323274,0.971581
178,7.120,3.685567,1.868588,3.574828,1.533962,3.766071,3.574828,3.766071,3.887053,0.475468,7.518547,1.237821,1.187670
