frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
180,7.200,0.281919,1.291380,0.676097,2.880189,0.359375,0.676097,2.880189,0.957430,0.028030,2.704389,0.780117,-0.719686
181,7.240,0.388184,1.827604,0.885246,3.917925,0.799107,0.885246,3.917925,1.064781,0.032069,3.540984,0.875523,-0.526713
182,7.280,0.515464,1.525648,0.944474,3.725472,0.975000,0.975000,3.725472,1.319937,0.015534,3.900000,0.817707,-0.443900
183,7.320,0.876289,2.742200,2.489952,7.575943,1.597768,2.489952,7.575943,1.377314,0.058818,9.959809,1.846290,0.953889
184,7.360,0.834655,2.628768,2.292173,5.262736,1.480357,2.292173,5.262736,2.949498,0.068440,9.168694,1.059521,0.771406
185,7.400,0.246828,1.506346,0.887361,4.923113,0.913839,0.913839,4.923113,0.768377,0.021905,3.655357,0.491592,-0.500331
186,7.440,0.079897,0.830513,0.613961,4.926415,0.849107,0.830513,4.926415,0.488393,0.012217,3.322052,1.321663,-0.577213
187,7.480,0.058684,0.681914,0.416182,7.066509,1.495536,0.681914,7.066509,0.690111,0.010608,2.727657,1.157254,-0.714319
188,7.520,0.094370,1.034109,0.459810,4.675472,0.874554,0.874554,4.675472,0.673189,0.015172,3.498214,1.282995,-0.536578
189,7.560,0.122918,1.044685,0.739820,3.915094,1.208929,1.044685,3.915094,1.098361,0.010493,4.178741,1.179403,-0.379604
190,7.600,0.157018,1.517451,1.276573,3.683019,0.750446,1.276573,3.683019,0.510841,0.009048,5.106293,1.586592,-0.165650
191,7.640,0.101110,0.736383,0.689847,3.783962,0.827232,0.736383,3.783962,0.898466,0.009754,2.945531,1.045028,-0.664063
192,7.680,0.113402,0.950026,0.595452,10.101415,1.834375,0.950026,10.101415,0.789794,0.015632,3.800106,1.125450,-0.466942
193,7.720,0.096352,0.796933,0.579588,4.758962,1.129018,0.796933,4.758962,0.850446,0.017209,3.187731,0.971727,-0.608196
194,7.760,0.199841,0.952935,0.680592,2.994811,0.827679,0.827679,2.994811,0.762054,0.013366,3.310714,1.026578,-0.579828
195,7.800,0.693894,1.378900,0.968800,1.849057,0.302232,0.968800,1.849057,0.689053,0.022381,3.875198,1.335256,-0.449621
196,7.840,1.532514,3.012427,1.904283,5.756132,1.111161,1.904283,5.756132,1.094659,0.010296,7.617134,2.135191,0.413515
197,7.880,2.136598,5.227922,3.446853,5.208019,1.445089,3.446853,5.227922,2.219990,0.014236,13.787414,2.079770,1.836786
198,7.920,2.714116,7.103649,4.497091,4.993396,1.517857,4.497091,7.103649,2.797726,0.028358,17.988365,1.792486,2.805800
199,7.960,2.894330,7.696986,4.264675,2.964623,0.775446,2.964623,7.696986,3.139609,0.032184,11.858491,0.998637,1.391850
200,8.000,2.914354,7.159175,3.646483,3.702358,0.688393,3.646483,7.159175,2.551887,0.026847,14.585934,1.281380,2.020977
